Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
FTBO06F - FP BEGLES;1040M1;1;;;;1;;;1;;;;1;;
BFB08 - BF MERIGNAC;1008M1;2;;;;;;;2;;;;;;
BFB04 - BF BORDEAUX AV ARES;1004M1;3;;;;;;;3;;;;;;
FTBO02F - FP TALENCE;1017M1;4;;;;;;;4;;;;;;
BFB10 - BF VILLENAVE D'ORNON;1010M1;5;;;;;;;5;;;;;;
BFB13 - BF LE BOUSCAT;1013M1;6;;;;;;;6;;;;;;
BFB02 - BF LE HAILLAN;1002M1;7;;;;;;;7;;;;;;
FTBO05F - FP BORDEAUX MERIGNAC;1033M1;8;;;;;;;8;;;;;;
BFB31 - BF LANGON;1036M1;9;;;;;;;9;;;;;;
BFB36 - BF ARES RTE BORDEAUX;1044M1;;;;1;;;;;;;1;;;
BFB11 - BF ARTIGUES;1011M1;;;4;;;;;;;4;;;;
BFB38 - BF ARTIGUES GUYENNE;1047M1;;;1;;;;;;;1;;;;
BFB05 - BF BACALAN;1005M1;;6;;;;;;;6;;;;;
BFB07 - BF BASTIDE;1007M1;;7;;;;;;;7;;;;;
BFB16 - BF BERGERAC;1018M1;;;;4;;;;;;;4;;;
BFB24 - BF BORDEAUX GINKO;1027M1;;;6;;;;;;;6;;;;
BFB37 - BF BORDEAUX JABRUN;1045M1;;1;;;;;;;1;;;;;
BFB26 - BF BOULAZAC;1029M1;;;;6;;;;;;;6;;;
BFB06 - BF COURS DE L'INTENDANCE;1006M1;;3;;;;;;;3;;;;;
BFB28 - BF COUTRAS;1032M1;;;5;;;;;;;5;;;;
BFB03 - BF FONDAUDEGE;1003M1;;4;;;;;;;4;;;;;
BFB09 - BF GRADIGNAN;1009M1;;;;;3;;;;;;;3;;
BFB14 - BF LIBOURNE;1014M1;;;;2;;;;;;;2;;;
BFB15 - BF LORMONT;1015M1;;;3;;;;;;;3;;;;
BFB34 - BF MARSAC SUR ISLE;1039M1;;;;7;;;;;;;7;;;
BFB01 - BF MERIADECK;1001M1;;2;;;;;;;2;;;;;
BFB35 - BF PERIGUEUX;1043M1;;;;5;;;;;;;5;;;
BFB25 - BF PESSAC;1028M1;;;;;2;;;;;;;2;;
BFB33 - BF SAINT ANDRE DE CUBZAC;1038M1;;;9;;;;;;;9;;;;
BFB12 - BF SAINT EULALIE;1012M1;;;2;;;;;;;2;;;;
BFB30 - BF SAINT-SEURIN-SUR-l'ISLE;1035M1;;;7;;;;;;;7;;;;
FTBO01F - FP BORDEAUX CHARTRONS;1016M1;;5;;;;;;;5;;;;;
FTBO04F - FP BORDEAUX MERIADECK;1031M1;;8;;;4;;;;8;;;4;;
TFBO01F - TRELISSAC FITNESS;1046M1;;;;3;;;;;;;3;;;
WUF21F - WUF COUTRAS;1041M1;;;8;;;;;;;8;;;;
