Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
BFBRES27 - BF THOUARS;2107M1;1;;;;;;;5;;;;;;
WUF08 - WUF ANGERS;2120M1;2;;;;;;;7;;;;;;
BFBRES32 - BF BEAUFORT EN ANJOU;2141M1;3;;;;;;;3;;;;;;
BFBRES17 - BF ANGERS ANJOU;2117M1;4;;;;;;;4;;;;;;
BFBRES21 - BF ANGERS ADER;2125M1;5;;;;;;;6;;;;;;
BFBRES01 - BF ANGERS RUE DU GRAND LAUNAY;2101M1;6;;;;;;;8;;;;;;
BFBRES28 - BF ANCENIS SAINT GEREON;2133M1;;;3;;;;;;;3;;;;
BFBRES22 - BF AURAY;2126M1;;;;;8;;;;;;;8;;
BFBRES25 - BF CHOLET ANJOU;2129M1;;;;4;;;;;;;5;;;
BFBRES02 - BF CHOLET RUE ST ELOI;2102M1;;;;5;;;;;;;6;;;
BFBRES23 - BF HENNEBONT;2127M1;;;;;7;;;;;;;7;;
BFBRES03 - BF LA ROCHE SUR YON GRAHAM;2103M1;;;;2;;;;;;;3;;;
BFBRES04 - BF LA ROCHE SUR YON IMPASSE GEORGES CUVIER;2104M1;;;;3;;;;;;;4;;;
BFBRES26 - BF LES HERBIERS;2130M1;;;;6;;;;;;;7;;;
BFBRES20 - BF LES SABLES D'OLONNE;2124M1;;;;7;;;;;;;8;;;
BFBRES05 - BF LORIENT RUE GEORGE BRASSENS;2105M1;;;;;6;;;;;;;6;;
BFBRES06 - BF NANTES BOULEVARD DE BERLIN;2106M1;;;4;;;;;;;5;;;;
BFBRES09 - BF NANTES CARRÉ FEYDEAU;2109M1;;;5;;;;;;;6;;;;
BFBRES31 - BF NANTES POMMERAYE;2140M1;;;6;;;;;;;7;;;;
BFBRES10 - BF NANTES RUE ANATOLE DE MONZIE;2110M1;;;7;;;;;;;8;;;;
BFBRES08 - BF NANTES RUE DU CALVAIRE;2108M1;;;8;;;;;;;9;;;;
BFBRES13 - BF NANTES-SAINT HERBLAIN ATLANTIS LE CENTRE;2113M1;;10;;;;;;;4;;;;;
BFBRES11 - BF REDON;2111M1;;6;;;;;;;5;;;;;
BFBRES19 - BF SAINT BREVIN LES PINS;2123M1;;8;;;;;;;6;;;;;
BFBRES30 - BF SAINT NAZAIRE;2137M1;;5;;;;;;;7;;;;;
BFBRES12 - BF SAINT-HERBLAIN, ROUTE DE VANNES;2112M1;;7;;;;;;;8;;;;;
BFBRES14 - BF SAINT-SEBASTIEN SUR LOIRE RUE MARIE CURIE;2114M1;;3;;;3;;;;3;;;3;;
BFBRES18 - BF SÉNÉ PLACE DES VOSGES;2118M1;;;;;5;;;;;;;5;;
BFBRES15 - BF TRIGNAC, RUE DES COURLIS;2115M1;;9;;;;;;;9;;;;;
BFBRES16 - BF VANNES ARISTIDE BOUCICAUT;2116M1;;;;;4;;;;;;;4;;
FPBRES03F - FP LA ROCHE SUR YON;2142M1;;;;1;;;;;;;2;;;
FPBRES04F - FP NANTES BEAULIEU;2143M1;;;1;;;;;;;1;;;;
FPBRES02F - FP NANTES CENTRE;2136M1;;;2;;;;;;;2;;;;
FPBRES01 - FP SAINT HERBLAIN;2119M1;;1;;;1;;;;1;;;1;;
FPBRES01 - FP SAINT HERBLAIN;2144M1;;2;;;2;;;;2;;;2;;
GF01F - GRIND FITNESS;2138M1;;4;;;;;;;;;;;;
WUF05F - WUF CHANTONNAY;2145M1;;;;;;;;;;;1;;;
WUF10F - WUF LES SORINIERES;2122M1;;;;;;;;;;4;;;;
WUF02 - WUF SAUMUR;2121M1;;;;;;;;2;;;;;;
WUF06F - WUF THOUARS;2131M1;;;;;;;;1;;;;;;
