Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
BFPDL05 - BF LEMPDES AVENUE DE L'EUROPE;1905M1;1;;;;;;;1;;;;;;
BFPDL04 - BF CLERMONT-FERRAND RUE BONNABAUD;1904M1;2;;;;;;;2;;;;;;
BFPDL07 - BF CLERMONT-FERRAND BOULEVARD MAURICE POURCHON;1907M1;3;;;;;;;3;;;;;;
BFPDL01 - BF CLERMONT FERRAND RUE DE L'ORADOU;1901M1;4;;;;;;;4;;;;;;
BFPDL31 - BF AUBIERE;1932M1;5;;;;;;;5;;;;;;
BFPDL02 - BF CÉBAZAT ROUTE NATIONALE;1902M1;6;;;;;;;6;;;;;;
BFPDL40 - BF BOURGES BOUILLET;1941M1;;;;;4;;;;;;;4;;
BFPDL24 - BF BOURGES ROUTE DE LA CHARITÉ;1924M1;;1;;;;;;;1;;;;;
BFPDL10 - BF BOURGES ZAC DU PRADO;1910M1;;;;;3;;;;;;;3;;
BFPDL15 - BF CHATEAUROUX CARREFOUR;1915M1;;;2;;;;;;;2;;;;
BFPDL06 - BF CUSSET - 24 RUE DES BARTINS;1906M1;;;;5;;;;;;;5;;;
BFPDL26 - BF DÉOLS AVENUE GUSTAVE EIFFEL;1926M1;;;1;;;;;;;3;;;;
BFPDL28 - BF GUERET;1928M1;;;;6;;;;;;;6;;;
BFPDL37 - BF ISSOUDUN;1938M1;;;;;2;;;;;;;2;;
BFPDL21 - BF MONTLUCON AVENUE DE LA RÉPUBLIQUE;1921M1;;;;4;;;;;;;4;;;
BFPDL30 - BF MONTLUCON DOMERAT;1930M1;;;;3;;;;;;;3;;;
BFPDL25 - BF MOULINS RUE DU CERF VOLANT;1925M1;;2;;;;;;;2;;;;;
BFPDL08 - BF NEVERS;1908M1;;3;;;;;;;3;;;;;
BFPDL41 - BF SAINT ARMAND MONTRON;1942M1;;;;1;;;;;;;1;;;
BFPDL17 - BF SAINT-DOULCHARD RUE DES CREUZETTES;1917M1;;;;;1;;;;;;;1;;
BFPDL29 - BF SAINT-MAUR;1929M1;;;3;;;;;;;1;;;;
BFPDL19 - BF VARENNES VAUZELLES,;1919M1;;4;;;;;;;4;;;;;
BFPDL03 - BF VICHY ROUTE DE PARIS;1903M1;;;;2;;;;;;;2;;;
