Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
BFCHA27 - BF COGNAC;2720M1;1;;;;;;;1;;;;;;
BFCHA31 - BF SAINTES;2735M1;2;;;;;;;2;;;;;;
BFCHA15 - BF ROCHEFORT SUR MER;2715M1;3;;;;;;;3;;;;;;
BFCHA35 - BF MARENNES HIERS BROUAGE;2738M1;4;;;;;;;4;;;;;;
BFCHA13 - BF ANGOULINS SUR MER;2713M1;5;;;;;;;5;;;;;;
BFCHA11 - BF PUILBOREAU RUE DU 18 JUIN;2711M1;6;;;;;;;6;;;;;;
BFCHA20 - BF ANGOULEME CC CHAMPS DE MARS;2724M1;;;;;6;;;;;;;6;;
BFCHA25 - BF ANGOULEME RUE DE BORDEAUX;2730M1;;;;;5;;;;;;;5;;
BFCHA01 - BF BESSINES ROUTE DE LA ROCHELLE;2701M1;;4;;;;;;;4;;;;;
BFCHA02 - BF BIARD RUE RAYMOND COLLART;2702M1;;;;1;;;;;;;1;;;
BFCHA37 - BF BRESSUIRE;2741M1;;3;;;;;;;3;;;;;
BFCHA23 - BF BUXEROLLES;2728M1;;;;3;;;;;;;3;;;
BFCHA04 - BF CHAMPNIERS ZAC DES MONTAGNES OUEST;2704M1;;;;;3;;;;;;;3;;
BFCHA16 - BF CHASSENEUIL-DU-POITOU C.C CHASSENEUIL RD910;2716M1;;;;4;;;;;;;4;;;
BFCHA05 - BF CHATELLERAULT, RUE NUNGESSER ET COLI;2705M1;;;;6;;;;;;;6;;;
BFCHA33 - BF CHAUVIGNY;2736M1;;;;7;;;;;;;7;;;
BFCHA09 - BF LIMOGES AVENUE LOUIS DE BROGLIE;2709M1;;;4;;;;;;;4;;;;
BFCHA06 - BF LIMOGES RUE DES FRÈRE BONNEFF;2706M1;;;1;;;;;;;1;;;;
BFCHA08 - BF LIMOGES RUE GÉNÉRAL MARTIAL;2708M1;;;3;;;;;;;3;;;;
BFCHA07 - BF LIMOGES, 22-30 AVENUE DES BÉNÉDICTINS;2707M1;;;2;;;;;;;2;;;;
BFCHA22 - BF MONTMORILLON;2727M1;;;7;;;;;;;7;;;;
BFCHA32 - BF NEUVILLE DE POITOU;2722M1;;;;5;;;;;;;5;;;
BFCHA30 - BF NIORT AVENUE DE PARIS;2734M1;;5;;;;;;;5;;;;;
BFCHA21 - BF NOTRON;2726M1;;;6;;;;;;;6;;;;
BFCHA17 - BF PARTHENAY BOULEVARD DES SIRES DE PARTHENAY;2717M1;;6;;;;;;;6;;;;;
BFCHA10 - BF POITIERS, AV. DE LAFAYETTE;2710M1;;;;2;;;;;;;2;;;
BFCHA28 - BF SAINT JUNIEN;2733M1;;;5;;;;;;;5;;;;
BFCHA36 - BF SAINT MAIXENT L'ECOLE;2740M1;;7;;;;;;;7;;;;;
BFCHA14 - BF SAINT-YRIEUX-SUR-CHARENTE;2714M1;;;;;4;;;;;;;4;;
BFCHA12 - BF SOYAUX RUE GÉNÉRAL DE GAULLE;2712M1;;;;;2;;;;;;;2;;
FPCHA1F - FP ANGOULEME;2742M1;;;;;1;;;;;;;1;;
WUF02F - WUF AZAY LE BRULE;2743M1;;1;;;;;;;1;;;;;
WUF01 - WUF NIORT;2739M1;;2;;;;;;;2;;;;;
