Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
FTMA05 - FP LA VALENTINE;1352M1;1;;;1;;;;1;;;1;;;
BFMA13 - BF MARSEILLE SAINT MENET;1313M1;2;;;8;;;;2;;;8;;;
FTMA05 - FP LA VALENTINE;1319M1;3;;;7;;;;3;;;7;;;
FTMA07 - FP MARSEILLE SAINT LOUP;1321M1;4;;;;;;;4;;;;;;
BFMA21 - BF MARSEILLE, 103 BOULEVARD DE SAINT LOUP (À CÔTÉ ACTION);1328M1;5;;;;;;;5;;;;;;
BFMA25 - BF AUBAGNE;1331M1;6;;;6;;;;6;;;6;;;
BFMA38 - BF MARSEILLE SAINT LEON;1344M1;7;;;5;;;;7;;;5;;;
BFMA35 - BF MARSEILLE CRISTOFOL;1341M1;8;;;;;;;8;;;;;;
BFMA5 - BF MARSEILLE AV DES OLIVES;1346M1;9;;;;;;;9;;;;;;
BFMA19 - BF MARSEILLE BOULEVARD MICHELET;1326M1;;;8;;;;;;;8;;;;
BFMA20 - BF MARSEILLE CHEMIN DE SAINTE-MARTHE;1327M1;;;;;7;;;;;;;7;;
BFMA41 - BF MARSEILLE LA CAPELETTE;1348M1;;;;2;;;;;;;2;;;
BFMA7 - BF MARSEILLE LA JOLIETTE;1307M1;;;7;;;;;;;7;;;;
BFMA1 - BF MARSEILLE LE MERLAN;1301M1;;;;;6;;;;;;;6;;
BFMA40 - BF MARSEILLE LIEUTAUD;1347M1;;;;;8;;;;;;;8;;
BFMA29 - BF MARSEILLE NATIONALE;1335M1;;;6;;;;;;;6;;;;
BFMA33 - BF MARSEILLE POINTE ROUGE;1340M1;;;5;;;;;;;5;;;;
BFMA17 - BF MARSEILLE PORTE D'AIX LADIES;1324M1;;9;;;;;;;9;;;;;
BFMA16 - BF MARSEILLE PORTE D'AIX MIXTES;1323M1;;8;;;;;;;8;;;;;
BFMA32 - BF MARSEILLE PRADO;1339M1;;;4;;;;;;;4;;;;
BFMA22 - BF MARSEILLE RUE BRIFFAUT;1357M1;;1;;;;;;;1;;;;;
BFMA26 - BF MARSEILLE RUE DE CRIMÉE;1332M1;;;3;;;;;;;3;;;;
BFMA18 - BF MARSEILLE RUE DE RUFFI;1325M1;;;2;;;;;;;2;;;;
BFMA2 - BF MARSEILLE SAINT CHARLES;1302M1;;7;;;;;;;7;;;;;
BFMA3 - BF MARSEILLE SAINT FERREOL;1303M1;;;;;5;;;;;;;5;;
BFMA12 - BF MARSEILLE SAINT MARCEL;1312M1;;;;4;;;;;;;4;;;
BFMA34 - BF MARSEILLE TOBOLEM;1338M1;;;1;;;;;;;1;;;;
BFMA30 - BF MARSEILLE VIVAUX;1336M1;;;;3;;;;;;;3;;;
BFMA24 - BF MARSEILLE, 397 RUE DE LYON;1330M1;;6;;;;;;;6;;;;;
FTMA01 - FP MARSEILLE BOURSE;1315M1;;10;;;4;;;;10;;;4;;
FTMA01 - FP MARSEILLE BOURSE;1353M1;;3;;;2;;;;3;;;2;;
FTMA04 - FP MARSEILLE GRAND LITTORAL;1318M1;;5;;;;;;;5;;;;;
FTMA02 - FP MARSEILLE LES DOCKS;1316M1;;4;;;3;;;;4;;;3;;
FTMA02 - FP MARSEILLE LES DOCKS;1355M1;;2;;;1;;;;2;;;1;;
