Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
BFTL07 - BF TOULOUSE SAINT ALBAN;1507M1;1;;;;;;;1;;;;;;
BFTL60 - BF CONDOM;1576M1;2;;;;;;;2;;;;;;
BFTL40 - BF AUCH;1547M1;3;;;;;;;3;;;;;;
BFTL11 - BF COLOMIERS;1511M1;4;;;;;;;4;;;;;;
FTTL03 - FP COLOMIERS;1514M1;5;;;;;;;5;;;;;;
BFTL16 - BF COLOMIERS RUE YVES BRUNAUD;1521M1;6;;;;;;;6;;;;;;
BFTL22 - BF TOULOUSE LOUISE DISSARD;1528M1;7;;;;;;;7;;;;;;
FTTL08 - FP BLAGNAC;1548M1;8;;;;;;;8;;;;;;
BFTL38 - BF  CARCASSONNE BOUFFET;1545M1;;9;;;;;;;9;;;;;
BFTL25 - BF AUTERIVE;1531M1;;;10;;;;;;;10;;;;
BFTL30 - BF BALMA AV ARENES;1537M1;;;;2;;;;;;;2;;;
BFTL19 - BF BALMA (TOULOUSE);1524M1;;;;3;;;;;;;3;;;
BFTL14 - BF CARCASSONNE PAVANETTO;1519M1;;7;;;;;;;7;;;;;
BFTL15 - BF CASTRES ROUTE DE TOULOUSE;1520M1;;6;;;;;;;6;;;;;
BFTL03 - BF COMPANS;1503M1;;;;;8;;;;;;;8;;
BFTL72 - BF CUGNAUX;1584M1;;;3;;;;;;;3;;;;
BFTL52 - BF FLOURENS;1583M1;;4;;;;;;;4;;;;;
BFTL29 - BF LAUNAGUET;1536M1;;2;;;;;;;2;;;;;
BFTL24 - BF MAZAMET;1530M1;;8;;;;;;;8;;;;;
BFTL71 - BF MONTGISCARD;1582M1;;;5;;;;;;;5;;;;
BFTL21 - BF PORTET SUR GARONNE;1527M1;;;8;;;;;;;7;;;;
BFTL51 - BF SAVERDUN;1560M1;;;9;;;;;;;9;;;;
BFTL27 - BF TOULOUSE AV ETATS UNIS;1534M1;;;;;7;;;;;;;7;;
BFTL06 - BF TOULOUSE BASSO CAMBO FEMME;1506M1;;;2;;;;;;;2;;;;
BFTL05 - BF TOULOUSE BASSO CAMBO HOMME;1505M1;;;1;;;;;;;1;;;;
BFTL53 - BF TOULOUSE BELLAY;1562M1;;;4;;;;;;;4;;;;
BFTL48 - BF TOULOUSE DASSAULT;1557M1;;;;7;;;;;;;7;;;
BFTL18 - BF TOULOUSE FAUBOURG BONNEFOY;1523M1;;;;;5;;;;;;;5;;
BFTL54 - BF TOULOUSE GENEVE;1563M1;;;;;2;;;;;;;2;;
BFTL10 - BF TOULOUSE JEAN JAURES;1510M1;;;;;4;;;;;;;4;;
BFTL02 - BF TOULOUSE LARRIEU;1502M1;;;7;;;;;;;8;;;;
BFTL08 - BF TOULOUSE MONTAUDRAN;1508M1;;;;6;;;;;;;6;;;
BFTL04 - BF TOULOUSE RAMONVILLE SAINT AGNES;1504M1;;;;4;;;;;;;4;;;
BFTL01 - BF TOULOUSE ROUTE D'ESPAGNE;1501M1;;;;1;;;;;;;1;;;
BFTL09 - BF TOULOUSE SANG DE SERP;1509M1;;;;;6;;;;;;;6;;
BFTL31 - BF TOULOUSE TIBAOUS;1538M1;;;6;;;;;;;6;;;;
BFTL20 - BF TOULOUSE/SESQUIÈRES;1525M1;;1;;;1;;;;1;;;1;;
FTTL09F - FP CASTRES;1549M1;;5;;;;;;;5;;;;;
FTTL04 - FP MURET;1515M1;;;11;;;;;;;11;;;;
FTTL05 - FP TOULOUSE BAYARD;1516M1;;;;;3;;;;;;;3;;
FTTL10 - FP TOULOUSE MONTAUDRAN;1578M1;;;;8;;;;;;;8;;;
FTTL07 - FP TOULOUSE PURPAN - LA CARTOUCHERIE;1533M1;;3;;;;;;;3;;;;;
FTTL01 - FP TOULOUSE SAINT ORENS;1512M1;;;;5;;;;;;;5;;;
