Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
BFMON19 - BF AVIGNON RUE SOUS MARIN CASABIANCA;1819M1;1;;;;;;;1;;;;;;
BFMON02 - BF ARLES AVENUE DE LA LIBÉRATION;1802M1;2;;;;;;;2;;;;;;
WUF12F - WUF SAINT REMY DE PROVENCE;1857M1;3;;;;;;;3;;;;;;
WUF19F - WUF L'ISLE SUR LA SORGUE;1843M1;4;;;;;;;4;;;;;;
BFMON22 - BF TARASCON RUE DES CHARRETIERS;1822M1;5;;;;;;;5;;;;;;
BFMON34 - BF CHATEAURENARD;1836M1;6;;;;;;;6;;;;;;
BFMON36 - BF BEAUCAIRE;1838M1;7;;;;;;;7;;;;;;
BFMON15 - BF ALES IMPASSE DU GARDONNET;1815M1;;;3;;;;;;;3;;;;
BFMON38 - BF ALES SS SAINT ETIENNE;1841M1;;;2;;;;;;;2;;;;
BFMON28 - BF BAGNOLS-SUR-CÈZE ROUTE PONT SAINT ESPRIT;1828M1;;;5;;;;;;;5;;;;
BFMON11 - BF BOLLÈNE AVENUE JEAN MOULIN;1811M1;;;4;;;;;;;4;;;;
BFMON30 - BF CASTELNAU LE LEZ;1830M1;;1;;;;;;;1;;;;;
BFMON20 - BF LE PONTET CHEMIN DE PÉRIGORD;1820M1;;;;5;;;;;;;2;;;
BFMON44 - BF MILLAU;1852M1;;2;;;;;;;2;;;;;
BFMON48 - BF MONTEUX;1856M1;;;;1;;;;;;;1;;;
BFMON18 - BF MONTPELLIER RUE LEJZER ZAMENHOF LADIES;1818M1;;;;;5;;;;;;;5;;
BFMON17 - BF MONTPELLIER RUE LEJZER ZAMENHOF MIXTE;1817M1;;;;;4;;;;;;;4;;
BFMON03 - BF NIMES BOULEVARD NATOIRE;1803M1;;;;;2;;;;;;;2;;
BFMON31 - BF NIMES CANTIER;1833M1;;;;;1;;;;;;;1;;
BFMON06 - BF ORANGE ROUTE D'ESPAGNE;1806M1;;;;4;;;;;;;3;;;
BFMON27 - BF SAINT CHRISTOL LES ALES;1827M1;;;1;;;;;;;1;;;;
BFMON29 - BF SAINT-CLÉMENT-DE-RIVIÈRE IMPASSE DES ÉGLANTIERS;1829M1;;3;;;3;;;;3;;;3;;
BFMON43 - BF SORGUES;1849M1;;;;3;;;;;;;4;;;
BFMON39 - BF VILLENEUVE LES AVIGNON;1844M1;;;;6;;;;;;;5;;;
FPMONT01F - FP SORGUES LE PONTET;1848M1;;;;2;;;;;;;6;;;
