Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
BFLY39 - BF VILLEURBANNE HIPPOLYTE KHAN;1639M1;1;;;;;;;1;;;;;;
BFLY06 - BF VILLEURBANNE STALINGRAD;1606M1;2;;;;1;;;2;;;;1;;
BFLY08 - BF VENISSIEUX;1608M1;3;;;;5;;;3;;;;5;;
BFLY22 - BF LYON RUE DE LA VILLETTE;1622M1;4;;;;;;;4;;;;;;
BFLY14 - BF LYON RUE DE LA RÉPUBLIQUE;1614M1;5;;;;;;;5;;;;;;
BFLY46 - BF LYON AUDRY;1650M1;6;;;;;;;6;;;;;;
BFLY02 - BF LYON RUE MARIETTON;1602M1;7;;;;;;;7;;;;;;
BFLY42 - BF ANSE ALLÉE DE VIADORÉE;1642M1;;4;;;;;;;4;;;;;
BFLY57 - BF BOURG EN BRESSE;1660M1;;;;2;;;;;;;2;;;
BFLY73 - BF CHALON SUR SAÔNE CC THALIE;1681M1;;;3;;;;;;;3;;;;
BFLY72 - BF CHALON-SUR-SAÔNE GARE;1680M1;;;2;;;;;;;2;;;;
BFLY38 - BF DARDILLY;1638M1;;5;;;;;;;5;;;;;
BFLY52 - BF GENAY;1655M1;;2;;;;;;;2;;;;;
BFLY71 - BF LONS LE SAUNIER;1679M1;;;;4;;;;;;;4;;;
BFLY55 - BF LOZANNE;1658M1;;1;;;;;;;1;;;;;
BFLY63 - BF MACON;1666M1;;;4;;;;;;;4;;;;
BFLY16 - BF MEYZIEU CHEMIN DU PEYSSILIEU;1616M1;;;;;3;;;;;;;3;;
BFLY45 - BF MONTCEAUX;1649M1;;;5;;;;;;;5;;;;
BFLY75 - BF PARAY LE MONIAL;1683M1;;;;1;;;;;;;1;;;
BFLY70 - BF SAINT CLAUDE;1678M1;;;;5;;;;;;;5;;;
BFLY29 - BF VAULX EN VELIN AVENUE FRANKLIN ROOSEVELT;1629M1;;;;;4;;;;;;;4;;
BFLY15 - BF VILLEFRANCHE SUR SAONE RUE ALEXANDRE RICHETTA;1615M1;;3;;;;;;;3;;;;;
BFLY66 - BF VILLEFRANCHE SUR SAONE RUE DE LA GARE;1669M1;;6;;;;;;;6;;;;;
BFLY74 - BF VINZELLES;1682M1;;;1;;;;;;;1;;;;
BFLY58 - BF VIRIAT;1661M1;;;;3;;;;;;;3;;;
FPLY01 - FP LYON PART DIEU;1644M1;;7;;;2;;;;7;;;2;;
