Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
BFAL50 - BF NANCY HAGUENAUER;1750M1;1;;;;;;;1;;;;;;
BFAL32 - BF VANDOUEVRE LES NANCY;1732M1;1;;;;;;;1;;;;;;
BFAL11 - BF NANCY BROT;1711M1;2;;;;;;;2;;;;;;
BFAL18 - BF ESSEY LES NANCY;1718M1;3;;;;;;;3;;;;;;
BFAL13 - BF LUNEVILLE;1713M1;4;;;;;;;4;;;;;;
BFAL26 - BF NANCY FOURIER;1726M1;5;;;;;;;5;;;;;;
BFAL27 - BF NANCY AUSTRASIE;1727M1;6;;;;;;;6;;;;;;
BFAL29 - BF SAINT NICOLAS DE PORT;1729M1;7;;;;;;;7;;;;;;
BFAL34 - BF LANEUVILLE;1734M1;8;;;;;;;8;;;;;;
BFAL17 - BF AUGNY;1717M1;;;9;;;;;;;9;;;;
BFAL47 - BF CREUTZWALD;1747M1;;6;;;;;;;6;;;;;
BFAL35 - BF DOMMARTIN LES TOUL;1735M1;;;;3;;;;;;;3;;;
BFAL07 - BF FAMECK;1707M1;;;5;;;;;;;4;;;;
BFAL19 - BF FAREBERSVILLER;1719M1;;4;;;;;;;4;;;;;
BFAL16 - BF FORBACH;1716M1;;3;;;;;;;3;;;;;
BFAL20 - BF FREYMING;1720M1;;5;;;;;;;5;;;;;
BFAL21 - BF FROUARD;1721M1;;;;2;;;;;;;2;;;
BFAL22 - BF LAXOU;1722M1;;;;1;;;;;;;1;;;
BFAL15 - BF LESMENILS;1715M1;;;;5;;;;;;;5;;;
BFAL10 - BF LEXY;1710M1;;;;;2;;;;;;;2;;
BFAL40 - BF MARANGE SILVANGE;1740M1;;;6;;;;;;;5;;;;
BFAL23 - BF METZ PLANTES;1723M1;;;2;;;;;;;2;;;;
BFAL24 - BF METZ SERPENOISE;1724M1;;;7;;;;;;;6;;;;
BFAL25 - BF METZ SOLIDARITE;1725M1;;1;;;;;;;1;;;;;
BFAL51 - BF METZ WOIPPY 2;1751M1;;;1;;;;;;;1;;;;
BFAL48 - BF MORHANGE;1748M1;;7;;;;;;;7;;;;;
BFAL28 - BF PONT A MOUSSON;1728M1;;;;4;;;;;;;4;;;
BFAL14 - BF SAINT AVOLD;1714M1;;2;;;;;;;2;;;;;
BFAL31 - BF SEMECOURT CC AUCHAN;1731M1;;;8;;;;;;;7;;;;
BFAL37 - BF TERVILLE;1737M1;;;;;3;;;;;;;3;;
BFAL38 - BF THIONVILLE;1738M1;;;;;4;;;;;;;4;;
BFAL49 - BF VAL DE BRIEY;1749M1;;;3;;;;;;;3;;;;
BFAL33 - BF WOIPPY;1733M1;;;4;;;;;;;8;;;;
BFAL39 - BF YUTZ;1739M1;;;;;5;;;;;;;5;;
FPAL01F - FP TERVILLE;1752M1;;;;;1;;;;;;;1;;
