Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
BFPDL45 - BF COSNE COURS SUR LOIRE;1946M1;1;;;;;;;1;;;;;;
BFPDL16 - BF VIERZON AVENUE DU 19 MARS 1962;1916M1;2;;;;;;;2;;;;;;
BFPDL33 - BF TAVERS;1934M1;3;;;;;;;3;;;;;;
BFPDL14 - BF OLIVET RUE GUYENNE;1914M1;4;;;;;;;4;;;;;;
BFPDL32 - BF MONTARGIS AVENUE CHAUTEMPS;1933M1;5;;;;;;;5;;;;;;
BFPDL12 - BF BLOIS AVENUE DE CHATEAUDUN;1912M1;6;;;;;;;6;;;;;;
BFPDL34 - BF CHAMBRAY LES TOURS;1935M1;;;;2;;;;;;;2;;;
BFPDL27 - BF FLEURY-LES-AUBRAIS;1927M1;;4;;;3;;;;2;;;3;;
BFPDL11 - BF JOUÉ-LÈS-TOURS BD JEAN JAURES;1911M1;;;;3;;;;;;;3;;;
BFPDL43 - BF LA VILLE AUX DAMES;1944M1;;;;4;;;;;;;4;;;
BFPDL36 - BF NAZELLES NEGRON;1937M1;;;3;;;;;;;3;;;;
BFPDL46 - BF ORLEANS ANTHELME BRILLAT-SAVARIN;1947M1;;;;;1;;;;;;;1;;
BFPDL23 - BF ORLEANS JEANNE D'ARC;1923M1;;1;;;4;;;;5;;;4;;
BFPDL09 - BF ORLEANS LIBERATION;1909M1;;2;;;;;;;3;;;;;
BFPDL42 - BF SAINT-DENIS-LANNERAY;1943M1;;;2;;;;;;;2;;;;
BFPDL13 - BF SAINT-JEAN DE LA RUELLE;1913M1;;5;;;2;;;;4;;;2;;
BFPDL18 - BF SARAN ROUTE NATIONALE;1918M1;;3;;;;;;;1;;;;;
BFPDL22 - BF TOURS CC PETITE ARCHE ROUTE DE PARIS;1922M1;;;;5;;;;;;;5;;;
BFPDL20 - BF TOURS RUE MICHELET;1920M1;;;;6;;;;;;;6;;;
BFPDL35 - BF TOURS RUE NATIONALE;1936M1;;;;7;;;;;;;7;;;
BFPDL38 - BF VENDOME;1939M1;;;1;;;;;;;1;;;;
BFPDL44 - BF VERETZ;1945M1;;;;1;;;;;;;1;;;
