Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
BFCAEN17 - BF CAEN PLACE DU 36ÈME RÉGIMENT D'INFANTERIE;3317M1;1;;;;;;;1;;;;;;
BFCAEN29 - BF SAINT HILAIRE DU HARCOUET;3329M1;2;;;;;;;2;;;;;;
BFCAEN23 - BF VIRE NORMANDIE NOVEMBRE;3322M1;3;;;;;;;3;;;;;;
BFCAEN25 - BF HÉROUVILLE-SAINT-CLAIR BOULEVARD DU VAL;3316M1;4;;;;;;;4;;;;;;
BFCAEN07 - BF ALLONNES ZAC DU VIVIER;3301M1;;;;6;;;;;;;6;;;
BFCAEN15 - BF BAYEUX;3327M1;;1;;;;;;;1;;;;;
BFCAEN18 - BF CAEN - BOULEVARD GEORGES POMPIDOU 80;3318M1;;;1;;;;;;;1;;;;
BFCAEN16 - BF CAEN, 323 RUE DE LA FALAISE;3315M1;;;2;;;;;;;3;;;;
BFCAEN19 - BF CAGNY;3324M1;;;3;;;;;;;2;;;;
BFCAEN06 - BF CHATEAU GONTHIER SUR MAYENNE;3310M1;;;;;6;;;;;;;5;;
BFCAEN12 - BF CHERBOURG EN COTENTIN ENTREPOT;3319M1;;4;;;;;;;3;;;;;
BFCAEN13 - BF CHERBOURG EN COTENTIN LIBERTE;3320M1;;2;;;;;;;4;;;;;
BFCAEN10 - BF CHERRE-AU;3311M1;;;;7;;;;;;;10;;;
BFCAEN14 - BF COUTANCES;3325M1;;3;;;;;;;2;;;;;
BFCAEN28 - BF LA CHAPELLE SAINT AUBIN RUE ALBERT DE DION;3328M1;;;;5;;;;;;;5;;;
BFCAEN05 - BF LA FLECHE;3312M1;;;;;5;;;;;;;4;;
BFCAEN04 - BF LAVAL MAYENNE;3313M1;;;;;4;;;;;;;3;;
BFCAEN02 - BF LAVAL MURAT;3304M1;;;;;3;;;;;;;7;;
BFCAEN03 - BF LAVAL TASSIGNY;3307M1;;;;;7;;;;;;;6;;
BFCAEN09 - BF LE MANS FRESNAY;3308M1;;;;8;;;;;;;7;;;
BFCAEN08 - BF LE MANS RUE ARISTIDE BRIAND;3303M1;;;;9;;;;;;;8;;;
BFCAEN01 - BF MAYENNE;3314M1;;;;;1;;;;;;;1;;
BFCAEN30 - BF MULSANNE;3332M1;;;;2;;;;;;;2;;;
BFCAEN27 - BF SABLE SUR SARTHE;3309M1;;;;;2;;;;;;;2;;
FTCAEN03F - FP LE MANS DR LEROY;3333M1;;;;1;;;;;;;1;;;
FTCAEN01F - FP LE MANS DURAND;3331M1;;;;10;;;;;;;9;;;
FTCAEN02F - FP LE MANS VOISIN;3330M1;;;;3;;;;;;;3;;;
WUF07F - WUF ARNAGE;3305M1;;;;4;;;;;;;4;;;
