Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
FTCHAMP02F - FP SENS;2441M1;1;;;;;;;1;;;;;;
BFCHAM06 - BF REIMS TAITTINGER LADIES;2406M1;2;;;;;;;2;;;;;;
BFCHAM02 - BF REIMS TAITTINGER MIXTE;2402M1;3;;;;;;;3;;;;;;
BFCHAM09 - BF THILLOIS ZAC NORD-THILLOIS;2409M1;4;;;;;;;4;;;;;;
BFCHAM16 - BF BARBEREY SAINT SULPICE;2416M1;5;;;;;;;5;;;;;;
BFCHAM35 - BF NOGENT SUR SEINE;2435M1;6;;;;;;;6;;;;;;
BFCHAM21 - BF ROMILLY SUR SEINE;2421M1;7;;;;;;;7;;;;;;
BFCHAM14 - BF SENS CHAMPBERTRAND;2414M1;8;;;;;;;8;;;;;;
BFCHAM39 - BF SENS DELPECH;2439M1;9;;;;;;;9;;;;;;
BFCHAM26 - BF BAR SUR AUBE;2426M1;;;;1;;;;;;;2;;;
BFCHAM34 - BF BETTANCOURT LA FERREE;2434M1;;;;6;;;;;;;6;;;
BFCHAM07 - BF CERNAY LES REIMS;2407M1;;3;;;;;;;3;;;;;
BFCHAM23 - BF CHALONS EN CHAMPAGNE SARRAIL;2423M1;;;;5;;;;;;;5;;;
BFCHAM38 - BF CHARLEVILLE MEZIERE;2438M1;;8;;;;;;;8;;;;;
BFCHAM25 - BF CONFLANS EN JARNISY;2425M1;;;4;;;;;;;4;;;;
BFCHAM01 - BF CORMONTREUIL, AVENUE DES GOISSES;2401M1;;2;;;;;;;2;;;;;
BFCHAM10 - BF EPERNAY RUE JEAN VALENTIN;2410M1;;;2;;;;;;;2;;;;
BFCHAM08 - BF FAGNIERES;2408M1;;;;4;;;;;;;4;;;
BFCHAM31 - BF GIVET;2431M1;;6;;;;;;;6;;;;;
BFCHAM27 - BF PONT SAINTE MARIE;2427M1;;;;;3;;;;;;;3;;
BFCHAM03 - BF REIMS AVENUE NATIONALE;2403M1;;;6;;;;;;;6;;;;
BFCHAM13 - BF REIMS GARNIER;2413M1;;;1;;;;;;;1;;;;
BFCHAM11 - BF REIMS ROUTE DE WITRY;2411M1;;;5;;;;;;;5;;;;
BFCHAM04 - BF REIMS RUE VESLE;2404M1;;1;;;;;;;1;;;;;
BFCHAM32 - BF RETHEL;2432M1;;5;;;;;;;5;;;;;
BFCHAM30 - BF REVIN;2430M1;;4;;;;;;;4;;;;;
BFCHAM33 - BF ROSIERES PRES TROYES;2433M1;;;;;2;;;;;;;2;;
BFCHAM36 - BF SAINT DIZIER;2436M1;;;;7;;;;;;;7;;;
BFCHAM18 - BF SAINT JULIEN LES VILLAS;2418M1;;;;;6;;;;;;;6;;
BFCHAM29 - BF SAINT PARRES AUX TERTRES;2429M1;;;;;4;;;;;;;4;;
BFCHAM22 - BF SAINTE SAVINE;2422M1;;;;;5;;;;;;;5;;
BFCHAM05 - BF SAINT-MEMMIE AVENUE MARC HAMET;2405M1;;;;3;;;;;;;3;;;
BFCHAM37 - BF SEDAN;2437M1;;7;;;;;;;7;;;;;
BFCHAM24 - BF VERDUN;2424M1;;;3;;;;;;;3;;;;
BFCHAM12 - BF VITRY LE FRANCOIS;2412M1;;;;2;;;;;;;1;;;
FTCHAMP01F - FP SAINT PARRES;2440M1;;;;;1;;;;;;;1;;
