Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
BFMON45 - BF LEZIGNAN CORBIERES;1853M1;1;;;;;;;1;;;;;;
BFMON16 - BF NARBONNE CHEMIN DE  SAINT CRESCENT;1816M1;2;;;;;;;4;;;;;;
BFMON08 - BF BÉZIERS RUE DE L'INDUSTRIE;1808M1;3;;;4;;;;3;;;4;;;
BFMON14 - BF BÉZIERS AVENUE SAINT-SAENS;1814M1;4;;;;;;;2;;;;;;
BFMON10 - BF CABESTANY AVENUE ANDRÉ AMPÈRE;1810M1;;1;;;;;;;1;;;;;
BFMON46 - BF CLAIRA;1854M1;;;;2;;;;;;;2;;;
BFMON49 - BF LE BOULOU;1858M1;;2;;;;;;;2;;;;;
BFMON24 - BF LUNEL, 10 ROUTE DU 8 MAI 1945;1824M1;;;1;;;;;;;1;;;;
BFMON07 - BF MAUGUIO RUE CHARLES LINDBERGH;1807M1;;;;;1;;;;;;;1;;
BFMON26 - BF MONTPELLIER AVENUE DE PALAVAS;1826M1;;;;;4;;;;;;;4;;
BFMON25 - BF MONTPELLIER ST ROCH;1825M1;;;;;3;;;;;;;3;;
BFMON21 - BF NIMES AVENUE DU MARÉCHAL JUIN;1821M1;;;5;;;;;;;5;;;;
BFMON35 - BF NIMES KENNEDY;1837M1;;;3;;;;;;;3;;;;
BFMON32 - BF NIMES ROUTE MONTPELLIER;1834M1;;;2;;;;;;;2;;;;
BFMON41 - BF PAULHAN LA BARTHE;1846M1;;;;5;;;;;;;5;;;
BFMON01 - BF PERPIGNAN AVENUE DU LANGUEDOC;1801M1;;;;3;;;;;;;3;;;
BFMON04 - BF PERPIGNAN BOULEVARD SAINT-ASSISCLE;1804M1;;3;;;;;;;3;;;;;
BFMON47 - BF PERPIGNAN LA ROSERAIE;1855M1;;4;;;;;;;4;;;;;
BFMON33 - BF PERPIGNAN PANCHOT;1835M1;;5;;;;;;;5;;;;;
BFMON09 - BF PERPIGNAN RUE DES TROIS JOURNÉES;1809M1;;6;;;;;;;6;;;;;
BFMON23 - BF PERPIGNAN RUE DU DOCTEUR GEORGES BAILLAT;1823M1;;7;;;;;;;7;;;;;
BFMON05 - BF SAINT JEAN DE VEDAS AVENUE ETIENNE MÉHUL;1805M1;;;;;2;;;;;;;2;;
BFMON42 - BF SAINT JEAN DE VEDAS PIERRE ET MARIE CURIE;1847M1;;;;;5;;;;;;;5;;
BFMON37 - BF SAINT LAURENT DE LA SALANQUE;1839M1;;;;1;;;;;;;1;;;
BFMON12 - BF VENDARGUES ROUTE DÉPARTEMENTALE 613;1812M1;;;4;;;;;;;4;;;;
