Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
BFTL41 - BF AURILLAC CHARMES;1550M1;1;;;;;;;1;;;;;;
BFTL46 - BF AURILLAC TOULOUSE;1555M1;2;;;;;;;2;;;;;;
BFTL45 - BF CAPDENAC;1554M1;3;;;;;;;3;;;;;;
BFTL42 - BF DECAZEVILLE;1551M1;4;;;;;;;4;;;;;;
BFTL32 - BF ALBI GOYA;1539M1;;;5;;;;;;;5;;;;
BFTL12 - BF ALBI ZONE LESCURE;1517M1;;;3;;;;;;;3;;;;
BFTL43 - BF BARAQUEVILLE;1552M1;;;2;;;;;;;2;;;;
BFTL58 - BF BIAS;1573M1;;;;7;;;;;;;1;;;
BFTL55 - BF BOE;1526M1;;;;6;;;;;;;2;;;
BFTL47 - BF BON-ENCONTRE;1556M1;;;;5;;;;;;;3;;;
BFTL64 - BF BRIVE ROOSEVELT;1567M1;;4;;;;;;;4;;;;;
BFTL62 - BF BRIVE-LA-GAILLARDE AV. JEAN CHARLES RIVET;1564M1;;5;;;;;;;5;;;;;
BFTL34 - BF CAUSSADE;1541M1;;;;;2;;;;;;;8;;
BFTL23 - BF GAILLAC;1529M1;;;7;;;;;;;7;;;;
BFTL69 - BF GRAULHET;1581M1;;;1;;;;;;;1;;;;
BFTL57 - BF LE PASSAGE;1572M1;;;;4;;;;;;;4;;;
BFTL13 - BF LES PORTES D'ALBI;1518M1;;;6;;;;;;;6;;;;
BFTL63 - BF MALEMORT- SUR-CORRÈZE;1566M1;;3;;;;;;;3;;;;;
BFTL56 - BF MARMANDE;1571M1;;;;3;;;;;;;5;;;
BFTL35 - BF MOISSAC;1542M1;;;;;3;;;;;;;7;;
BFTL26 - BF MONTAUBAN ALBASUD;1532M1;;;;;4;;;;;;;6;;
BFTL17 - BF MONTAUBAN ROUTE DU NORD;1522M1;;;;;5;;;;;;;5;;
BFTL59 - BF MONTAYRAL;1574M1;;;;2;;;;;;;6;;;
BFTL66 - BF NAVES;1570M1;;2;;;;;;;2;;;;;
BFTL37 - BF POMPIGNAN;1544M1;;;;;6;;;;;;;4;;
BFTL39 - BF PUYGOUZON;1546M1;;;9;;;;;;;9;;;;
BFTL33 - BF SAINT JORY;1540M1;;;;;7;;;;;;;3;;
BFTL28 - BF SAINT SULPICE LA POINTE;1535M1;;;8;;;;;;;8;;;;
BFTL67 - BF TERRASSON;1568M1;;6;;;;;;;6;;;;;
BFTL65 - BF USSEL;1569M1;;1;;;;;;;1;;;;;
BFTL61 - BF VILLENEUVE SUR LOT;1577M1;;;;1;;;;;;;7;;;
TL01F - CLUB ALBI;1565M1;;;4;;;;;;;4;;;;
FTTL02 - FP CASTELNAU D'ESTREFONDS;1513M1;;;;;8;;;;;;;2;;
FTTL11F - FP MONTAUBAN;1579M1;;;;;1;;;;;;;1;;
