Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
BFFCOM08 - BF DOLE;2608M1;1;;;;;;;1;;;;;;
BFFCOM39 - BF AUXONNE;2639M1;2;;;;;;;2;;;;;;
BFFCOM10 - BF LE CREUSOT RUE DE CHANZY;2610M1;3;;;;;;;3;;;;;;
BFFCOM15 - BF AUTUN;2615M1;4;;;;;;;4;;;;;;
BFFCOM33 - BF BEAUNE;2633M1;5;;;;;;;5;;;;;;
BFFCOM53 - BF AUXERRE;2649M1;;3;;;;;;;3;;;;;
BFFCOM46 - BF BESANCON DE VESOUL;2646M1;;;;7;;;;;;;7;;;
BFFCOM02 - BF BESANCON RUE GUILLAUME APPOLINAIRE;2602M1;;;;1;;;;;;;1;;;
BFFCOM03 - BF BESANÇON RUE PASTEUR;2603M1;;;;5;;;;;;;5;;;
BFFCOM04 - BF CHALEZEULE CHEMIN DES MARNIÈRES;2604M1;;;;6;;;;;;;6;;;
BFFCOM48 - BF CHATILLON SUR SEINE;2648M1;;5;;;;;;;5;;;;;
BFFCOM45 - BF CHAUMONT;2645M1;;6;;;;;;;6;;;;;
BFFCOM07 - BF CHENOVE RUE BERNARD PALISSY;2607M1;;;;;8;;;;;;;8;;
BFFCOM24 - BF CHEVIGNY SAINT SAUVEUR;2624M1;;;;;7;;;;;;;7;;
BFFCOM43 - BF CLUSE ET MIJOUX;2643M1;;;;3;;;;;;;3;;;
BFFCOM34 - BF CONTREXEVILLE;2634M1;;;1;;;;;;;1;;;;
BFFCOM38 - BF DAIX;2638M1;;;;;6;;;;;;;6;;
BFFCOM16 - BF DIJON BD KIR;2616M1;;;;;5;;;;;;;5;;
BFFCOM54 - BF DIJON DEVOSGE;2653M1;;;;;4;;;;;;;4;;
BFFCOM17 - BF DIJON RUE RAINES;2617M1;;;;;3;;;;;;;3;;
BFFCOM13 - BF ECOLE VALENTIN;2613M1;;;;4;;;;;;;4;;;
BFFCOM40 - BF EPINAL;2654M1;;;5;;;;;;;5;;;;
BFFCOM09 - BF FONTAINE LES DIJON RUE JACQUELINE AURIOL;2609M1;;;;;2;;;;;;;2;;
BFFCOM25 - BF GRAY;2625M1;;;8;;;;;;;8;;;;
BFFCOM55 - BF JEUXEY;2655M1;;;6;;;;;;;6;;;;
BFFCOM51 - BF JOIGNY;2651M1;;2;;;;;;;2;;;;;
BFFCOM41 - BF LANGRES;2641M1;;;4;;;;;;;4;;;;
BFFCOM14 - BF LUXEUIL-LES-BAINS;2614M1;;;3;;;;;;;3;;;;
BFFCOM50 - BF MIGENNES;2652M1;;4;;;;;;;4;;;;;
BFFCOM52 - BF MONETEAU;2650M1;;1;;;;;;;1;;;;;
BFFCOM21 - BF QUETIGNY;2621M1;;;;;1;;;;;;;1;;
BFFCOM56 - BF SAINTE MARGUERITE;2656M1;;;7;;;;;;;7;;;;
BFFCOM32 - BF SAINT-VIT;2632M1;;;;2;;;;;;;2;;;
BFFCOM22 - BF VESOUL;2622M1;;;2;;;;;;;2;;;;
