Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
FTPA54 - FP PARIS BASTILLE;1283M1;1;;;;7;;;1;;;;7;;
BFP129 - BF PARIS COLOMBIER;1293M1;2;;;;;;;2;;;;;;
FTPA02 - FP THEATRE;1141M1;3;;;;;;;3;;;;;;
BFP112 - BF PARIS RIBERA;1278M1;4;;;6;;;;6;;;6;;;
BFP22 - BF CHAUSSEE D'ANTIN;1120M1;5;;;;;;;7;;;;;;
BFP130 - BF PARIS CHAMPS ELYSEES;1150M1;6;;;;12;;;8;;;;12;;
BFP18 - BF BOULOGNE BILLANCOURT;1116M1;7;;;;;;;5;;;;;;
FTPA26 - FP BOULOGNE BILLANCOURT;1163M1;8;;;4;;;;4;;;4;;;
BFP15 - BF BD STRASBOURG;1113M1;;9;;;10;;;;9;;;10;;
BFP139 - BF CERGY LINANDES;1300M1;;;3;;;;;;;3;;;;
BFP44 - BF CERGY RUE DES CHÊNES POURPRES ;1186M1;;;2;;;;;;;2;;;;
BFP32 - BF OSNY ALBI;1130M1;;;4;;;;;;;4;;;;
BFP95 - BF OSNY POIRIER;1257M1;;;5;;;;;;;5;;;;
BFP121 - BF PARIS FROMENT;1225M1;;;;1;;;;;;;1;;;
BFP67 - BF PARIS RUE MONT LOUIS;1252M1;;1;;;;;;;1;;;;;
BFP31 - BF PHILIPPE AUGUSTE;1129M1;;2;;;;;;;2;;;;;
BFP128 - BF ROMAINVILLE;1292M1;;;;5;;;;;;;5;;;
BFP12 - BF RUE CROZATIER;1111M1;;3;;;;;;;3;;;;;
BFP97 - BF SAINT OUEN L'AUMONE;1260M1;;;1;;;;;;;1;;;;
BFP34 - BF VINCENNES;1132M1;;;;;1;;;;;;;2;;
FC01F - FIGHT CLUB PARIS;3225M1;;5;;;;;;;5;;;;;
FTPA27 - FP CERGY;1164M1;;;6;;;;;;;6;;;;
FTPA47 - FP CERGY - 3 Fontaines;1218M1;;;7;;;;;;;7;;;;
FTPA07 - FP CERGY LE HAUT;1145M1;;;8;;;;;;;8;;;;
FTPA46 - FP PARIS - BATIGNOLLES;1214M1;;;;;3;;;;;;;3;;
FTPA46 - FP PARIS - BATIGNOLLES;3228M1;;;;;2;;;;;;;1;;
FTPA43 - FP PARIS - CHOISY;1211M1;;;;7;;;;;;;7;;;
FTPA03 - FP PARIS DIDEROT;1142M1;;;;;8;;;;;;;8;;
FTPA03 - FP PARIS DIDEROT;3232M1;;;;;5;;;;;;;5;;
FTPA24 - FP PARIS PLACE DE CLICHY;1161M1;;10;;;9;;;;10;;;9;;
FTPA24 - FP PARIS PLACE DE CLICHY;3233M1;;6;;;4;;;;6;;;4;;
FTPA25 - FP PARIS REPUBLIQUE;1162M1;;8;;;11;;;;8;;;11;;
FTPA25 - FP PARIS REPUBLIQUE;3230M1;;7;;;6;;;;7;;;6;;
FTPA21 - FP PARIS 20;1158M1;;4;;;;;;;4;;;;;
FTPA17 - FP SAINT OUEN GARE;1153M1;;;;2;;;;;;;2;;;
FTPA17 - FP SAINT OUEN GARE;3229M1;;;;3;;;;;;;3;;;
