Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
BFNORD56 - BF HIRSON;3157M1;1;;;;;;;1;;;;;;
BFNORD53 - BF HAUTMONT;3153M1;2;;;;;;;2;;;;;;
BFNORD05 - BF ENNETIERES EN WEPPES;3105M1;3;;;;;;;6;;;;;;
BFNORD17 - BF LILLE FOURRIER;3117M1;4;;;;;;;3;;;;;;
BFNORD40 - BF MAUBEUGE;3140M1;5;;;;;;;4;;;;;;
BFNORD38 - BF FOURMIES;3138M1;6;;;;;;;5;;;;;;
BFNORD51 - BF ANNOEULLIN;3151M1;;;;;4;;;;;;;4;;
BFNORD47 - BF BONDUES;3147M1;;6;;;;;;;6;;;;;
BFNORD44 - BF LILLE DANEL;3144M1;;;;3;;;;;;;3;;;
BFNORD43 - BF LILLE DOUAI LADIES;3143M1;;;;5;;;;;;;5;;;
BFNORD16 - BF LILLE DOUAI MIXTE;3116M1;;;;4;;;;;;;4;;;
BFNORD09 - BF LILLE GAMBETTA;3109M1;;;;2;;;;;;;2;;;
BFNORD12 - BF LILLE MOLINEL;3112M1;;;5;;;;;;;5;;;;
BFNORD08 - BF LILLE MONTEBELLO;3108M1;;;;;1;;;;;;;1;;
BFNORD11 - BF LILLE NATIONALE I;3111M1;;;2;;;;;;;2;;;;
BFNORD13 - BF LILLE NATIONALE II;3113M1;;;3;;;;;;;3;;;;
BFNORD15 - BF LILLE NATIONALE III;3115M1;;;4;;;;;;;4;;;;
BFNORD10 - BF LILLE POSTES LILLEMIUM;3110M1;;;;;2;;;;;;;2;;
BFNORD14 - BF LILLE SARRAZINS;3114M1;;;1;;;;;;;1;;;;
BFNORD39 - BF LILLE URVILLE;3139M1;;;6;;;;;;;6;;;;
BFNORD23 - BF ROUBAIS GAMBETTA LADIES;3123M1;;5;;;;;;;5;;;;;
BFNORD24 - BF ROUBAIS GAMBETTA MIXTE;3124M1;;4;;;;;;;4;;;;;
BFNORD22 - BF ROUBAIS LEBAS;3122M1;;3;;;;;;;3;;;;;
BFNORD25 - BF SAINT ANDRE LEZ LILLE RESISTANCE;3125M1;;;;1;;;;;;;1;;;
BFNORD27 - BF SECLIN;3127M1;;;;;3;;;;;;;3;;
BFNORD52 - BF TOURCOING CAVELL;3152M1;;2;;;;;;;2;;;;;
BFNORD31 - BF TOURCOING PAPIN;3131M1;;7;;;;;;;7;;;;;
BFNORD37 - BF WATTRELOS;3137M1;;1;;;;;;;1;;;;;
