Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
FPLY05F - FP ANDREZIEUX;1672M1;1;;;;;;;1;;;;;;
BFLY60 - BF SAINT CHAMOND;1663M1;2;;;;;;;2;;;;;;
BFLY33 - BF LE COTEAU - BOULEVARD CHARLES DE GAULLE;1633M1;3;;;;;;;3;;;;;;
BFLY69 - BF FIRMINY;1677M1;4;;;;;;;4;;;;;;
BFLY50 - BF FEURS;1653M1;5;;;;;;;5;;;;;;
BFLY53 - BF ANDREZIEUX-BOUTHEON;1656M1;6;;;;;;;6;;;;;;
BFLY59 - BF AUBENAS;1662M1;;2;;;;;;;2;;;;;
BFLY67 - BF BOURG DE PEAGE;1670M1;;;;;4;;;;;;;4;;
BFLY51 - BF BOURG LES VALENCE;1654M1;;;;;3;;;;;;;3;;
BFLY48 - BF BRIVES-CHARENSAC;1652M1;;;5;;;;;;;5;;;;
BFLY40 - BF FRANCHEVILLE;1640M1;;;;4;;;;;;;4;;;
BFLY10 - BF LYON AVENUE MARIUS BERLIET;1610M1;;;;3;;;;;;;3;;;
BFLY31 - BF LYON JEAN JAURÈS;1631M1;;;;2;;;;;;;2;;;
BFLY76 - BF MONTELIMAR GOURNIER;1684M1;;7;;;;;;;7;;;;;
BFLY77 - BF MONTELIMAR RT VALENCE;1685M1;;6;;;;;;;6;;;;;
BFLY61 - BF PIERRE BENITE;1664M1;;;;1;;;;;;;1;;;
BFLY47 - BF PRIVAS;1651M1;;3;;;;;;;3;;;;;
BFLY07 - BF ROMANS SUR ISÈRE;1607M1;;;;;2;;;;;;;2;;
BFLY25 - BF SAINT ETIENNE IMPASSE DU PONT DE L'ANE;1625M1;;;4;;;;;;;4;;;;
BFLY12 - BF SAINT ETIENNE RUE DES DOCTEURS CHARCOT;1612M1;;;3;;;;;;;3;;;;
BFLY11 - BF SAINT ETIENNE RUE DES MARTYRS DE VINGRE;1673M1;;;1;;;;;;;1;;;;
BFLY56 - BF SAINT GENIS LAVAL;1659M1;;;;5;;;;;;;5;;;
BFLY17 - BF SAINT-ETIENNE SAM CENTER RUE BARROIN;1617M1;;;2;;;;;;;2;;;;
BFLY09 - BF SAINT-PRIEST;1609M1;;8;;;5;;;;8;;;5;;
BFLY30 - BF VALENCE AVENUE VICTOR HUGO;1630M1;;4;;;;;;;4;;;;;
BFLY13 - BF VALENCE BD GÉNÉRAL DE GAULLE;1613M1;;5;;;;;;;5;;;;;
FPLY07F - FP ROMANS SUR ISERE;1676M1;;;;;1;;;;;;;1;;
FPLY04F - FP VALENCE;1647M1;;1;;;;;;;1;;;;;
