Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
BFMULH13 - BF BESSONCOURT STRATEGIQUE;3413M1;1;;;;;;;1;;;;;;
BFMULH11 - BF BELFORT RUE CLEMENCEAU;3411M1;2;;;;;;;2;;;;;;
BFMULH34 - BF DANJOUTIN;3434M1;3;;;;;;;3;;;;;;
BFMULH39 - BF LURE;3439M1;4;;;;;;;4;;;;;;
BFMULH07 - BF MONTBÉLIARD RUE DE LA SOUABERIE;3407M1;5;;;;;;;5;;;;;;
BFMULH12 - BF HERICOURT;3412M1;6;;;;;;;6;;;;;;
BFMULH09 - BF EXINCOURT;3409M1;7;;;;;;;7;;;;;;
BFMULH10 - BF DELLE;3410M1;8;;;;;;;8;;;;;;
BFMULH08 - BF BETHONCOURT;3408M1;9;;;;;;;9;;;;;;
BFMULH27 - BF COLMAR;3427M1;;;;3;;;;;;;3;;;
BFMULH28 - BF GEISPOLSHEIM LYON;3428M1;;5;;;;;;;3;;;;;
BFMULH29 - BF GEISPOLSHEIM NOVEMBRE;3429M1;;3;;;;;;;9;;;;;
BFMULH25 - BF HAGUENAU;3425M1;;;;4;;;;;;;8;;;
BFMULH20 - BF HOENHEIM;3420M1;;;;5;;;;;;;7;;;
BFMULH31 - BF HORBOURG WIHR;3431M1;;;;2;;;;;;;2;;;
BFMULH38 - BF ILLKIRCH GRAFFENSTADEN;3438M1;;2;;;;;;;2;;;;;
BFMULH06 - BF ILLZACH;3406M1;;;;;7;;;;;;;7;;
BFMULH37 - BF ISSENHEIM;3437M1;;;;;1;;;;;;;1;;
BFMULH04 - BF KINGERSHEIM;3404M1;;;;;6;;;;;;;6;;
BFMULH03 - BF MORSCHWILLER;3403M1;;;;;5;;;;;;;5;;
BFMULH01 - BF MULHOUSE BALE;3401M1;;;;;4;;;;;;;4;;
BFMULH02 - BF MULHOUSE PFASTATT;3402M1;;;;;3;;;;;;;3;;
BFMULH30 - BF MUNDOLSHEIM;3430M1;;;;6;;;;;;;6;;;
BFMULH33 - BF PHALSBOURG;3433M1;;;1;;;;;;;4;;;;
BFMULH05 - BF SAINT LOUIS;3405M1;;;;;2;;;;;;;2;;
BFMULH24 - BF SARREBOURG;3424M1;;;4;;;;;;;1;;;;
BFMULH22 - BF SARREGUEMINES;3422M1;;;3;;;;;;;2;;;;
BFMULH21 - BF SAVERNE;3421M1;;;2;;;;;;;3;;;;
BFMULH26 - BF SOUFFLENHEIM;3426M1;;;;7;;;;;;;5;;;
BFMULH16 - BF STRASBOURG COLMAR;3416M1;;6;;;;;;;8;;;;;
BFMULH19 - BF STRASBOURG DUMAS LADIES;3419M1;;7;;;;;;;7;;;;;
BFMULH18 - BF STRASBOURG DUMAS MIXTE;3418M1;;8;;;;;;;6;;;;;
BFMULH40 - BF STRASBOURG KLEBER;3440M1;;1;;;;;;;1;;;;;
BFMULH14 - BF STRASBOURG NATIONAL;3414M1;;9;;;;;;;5;;;;;
BFMULH17 - BF STRASBOURG WISSEMBOURG;3417M1;;4;;1;;;;;4;;1;;;
BFMULH23 - BF VENDENHEIM;3423M1;;;;8;;;;;;;4;;;
