Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
BFNC22 - BF ANTIBES MIRABEAU;1439M1;1;;;;;;;1;;;;;;
FTNC09 - FP JUAN LES PINS;1426M1;2;;;5;;;;2;;;5;;;
BFNC08 - BF VILLENEUVE LOUBET;1407M1;3;;;;;;;3;;;;;;
FTNC06 - FP VILLENEUVE LOUBET;1419M1;4;;;10;;;;4;;;10;;;
FTNC13 - FP ANTIBES MARIE FISCHER;1430M1;5;;;3;;;;5;;;3;;;
FTNC24 - FP SOPHIA ANTIPOLIS;1414M1;6;;;8;;;;6;;;8;;;
FTNC05 - FP MOUGINS;1418M1;7;;;7;;;;7;;;7;;;
BFNC11 - BF ANTIBES TERRIER;1410M1;8;;;1;;;;8;;;1;;;
FTNC13 - FP ANTIBES MARIE FISCHER;1454M1;9;;;4;;;;9;;;4;;;
FTNC09 - FP JUAN LES PINS;1457M1;10;;;6;;;;10;;;6;;;
FTNC24 - FP SOPHIA ANTIPOLIS;1456M1;11;;;9;;;;11;;;9;;;
BFNC24 - BF ANTIBES LES PINS;1446M1;;;;;4;;;;;;;4;;
BFNC30 - BF BIOT;1451M1;;;;2;;;;;;;2;;;
BFNC12 - BF CANNES FORTVILLE;1411M1;;1;;;5;;;;1;;;5;;
BFNC02 - BF CANNES REPUBLIQUE;1402M1;;2;;;;;;;2;;;;;
BFNC15 - BF FREJUS TRAVERSE DE MAGDELEINE ;1420M1;;;2;;;;;;;5;;;;
BFNC09 - BF GRASSE;1408M1;;;6;;;;;;;6;;;;
BFNC16 - BF GRASSE ROUTE DE LA MARIGARDE;1421M1;;;7;;;;;;;7;;;;
BFNC03 - BF MANDELIEU LA NAPOULE LES TOURRADES;1403M1;;3;;;3;;;;3;;;3;;
BFNC04 - BF MOUGINS;1404M1;;;1;;;;;;;1;;;;
BFNC28 - BF MOUGINS TOURMANY;1449M1;;4;;;;;;;4;;;;;
BFNC20 - BF PUGET SUR ARGENS;1441M1;;;5;;;;;;;2;;;;
FTNC18 - FP CANNES GARE;1435M1;;8;;;6;;;;9;;;7;;
FTNC18 - FP CANNES GARE;1453M1;;9;;;7;;;;8;;;6;;
FTNC17 - FP CANNES LA BOCCA;1434M1;;5;;;1;;;;5;;;1;;
FTNC15 - FP FREJUS PALUD;1432M1;;;3;;;;;;;4;;;;
FTNC16 - FP FREJUS TASSIGNY;1433M1;;;4;;;;;;;3;;;;
FTNC04 - FP MANDELIEU;1417M1;;6;;;2;;;;6;;;2;;
RFNC01F - RF PEGOMAS;1425M1;;7;;;;;;;7;;;;;
