Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
BFNOR37 - BF LE TRAIT;2338M1;1;;;;;;;1;;;;;;
BFNOR38 - BF BARENTIN;2339M1;2;;;;;;;2;;;;;;
BFNOR32 - BF ROUEN DARNETAL;2332M1;3;;;;;;;3;;;;;;
BFNOR22 - BF TOURVILLE LA RIVIERE;2322M1;4;;;2;;;;4;;;2;;;
BFNOR01 - BF ROUEN RUE SAINT SEVER;2301M1;5;;;;;;;5;;;;;;
BFNOR13 - BF ROUEN BOULET;2315M1;6;;;;;;;6;;;;;;
BFNOR41 - BF ARÇONNAY ZONE COMMERCIALE DU PETIT COUDRAY;2343M1;;3;;;;;;;3;;;;;
BFNOR40 - BF ARGENTAN;2342M1;;2;;;;;;;2;;;;;
BFNOR18 - BF CERISE;2318M1;;5;;;;;;;4;;;;;
BFNOR04 - BF CHARTRES ALLÉE DES ATLANTES;2304M1;;;;;5;;;;;;;5;;
BFNOR03 - BF DREUX AVENUE DU PRÉSIDENT KENNEDY;2303M1;;;;;1;;;;;;;1;;
BFNOR05 - BF GONFREVILLE L'ORCHER RUE DE LA FERME DAMBUC;2305M1;;;4;;;;;;;4;;;;
BFNOR33 - BF GRAND-COURONNE;2333M1;;;;5;;;;;;;4;;;
BFNOR12 - BF GRUCHET-LE-VALASSE RUE DE L'ABBAYE;2312M1;;;1;;;;;;;1;;;;
BFNOR42 - BF LE GRAND QUEVILLY;2344M1;;;;1;;;;;;;1;;;
BFNOR27 - BF LE HAVRE COTY PERIER;2327M1;;;6;;;;;;;6;;;;
BFNOR08 - BF LE HAVRE HENRI ST DELIS;2308M1;;;2;;;;;;;2;;;;
BFNOR21 - BF LE HAVRE PIASECKI;2321M1;;;5;;;;;;;5;;;;
BFNOR11 - BF LE VIEIL-ÉVREUX RUE JACQUELINE AURIOL;2311M1;;;;;3;;;;;;;3;;
BFNOR23 - BF LUCE;2323M1;;;;;2;;;;;;;2;;
BFNOR15 - BF MONTIVILLIERS;2314M1;;;3;;;;;;;3;;;;
BFNOR31 - BF NONANCOURT;2331M1;;;;;6;;;;;;;6;;
BFNOR36 - BF PETITE COURONNE;2337M1;;;;4;;;;;;;5;;;
BFNOR26 - BF ROUXMESNIL BOUTEILLES;2326M1;;;;6;;;;;;;6;;;
BFNOR06 - BF SAINT ETIENNE DU ROUVRAY;2306M1;;;;3;;;;;;;3;;;
BFNOR30 - BF SAINT SULPICE SUR RISLE;2330M1;;4;;;;;;;5;;;;;
BFNOR25 - BF VAL DE REUIL;2325M1;;;;;4;;;;;;;4;;
BFNOR39 - BF VIMOUTIERS;2341M1;;1;;;;;;;1;;;;;
FTNOR01F - FP GONFREVILLE;2340M1;;;1;;;;;;;1;;;;
