Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
BFOIS01 - BF ABBEVILLE RUE MENCHECOURT;2501M1;1;;;;;;;1;;;;;;
BFOIS02 - BF AMIENS RUE DE NOYON;2502M1;2;;;;;;;2;;;;;;
BFOIS03 - BF AMIENS LES HALLES DU BEFFROI;2503M1;3;;;;;;;3;;;;;;
BFOIS04 - BF AMIENS AVENUE DE L'EUROPE;2504M1;4;;;;;;;4;;;;;;
BFOIS17 - BF MONTDIDIER;2517M1;5;;;;;;;5;;;;;;
BFOIS21 - BF MUILLE VILLETTE;2524M1;6;;;;;;;6;;;;;;
BFOIS05 - BF BEAUVAIS PLACE JEANNE HACHETTE;2505M1;;;;7;;;;;;;7;;;
BFOIS06 - BF BEAUVAIS RUE ARAGO;2506M1;;;;6;;;;;;;6;;;
BFOIS07 - BF CHAMBLY ZAC PORTE SUD DE L'OISE;2507M1;;;;5;;;;;;;5;;;
BFOIS08 - BF COMPIEGNE, JAUX;2508M1;;;;;4;;;;;;;4;;
BFOIS20 - BF CREPY EN VALOIS;2523M1;;;5;;;;;;;5;;;;
BFOIS09 - BF LAGNY LE SEC ZAC BARANFOSSE;2509M1;;;4;;;;;;;4;;;;
BFOIS18 - BF LAON;2518M1;;2;;;;;;;2;;;;;
BFOIS10 - BF MARGNY LES COMPIÈGNE;2510M1;;;;;3;;;;;;;3;;
BFOIS26 - BF MOURS;2532M1;;;;4;;;;;;;4;;;
BFOIS11 - BF NOGENT SUR OISE AVENUE DE L'EUROPE;2511M1;;;2;;;;;;;2;;;;
BFOIS19 - BF NOYON;2519M1;;;;;2;;;;;;;2;;
BFOIS16 - BF PERONNE;2516M1;;6;;;;;;;6;;;;;
BFOIS25 - BF SAINT MARCEL;2528M1;;;;3;;;;;;;3;;;
BFOIS12 - BF SAINT MAXIMIN;2512M1;;;3;;;;;;;3;;;;
BFOIS13 - BF SAINT QUENTIN POMPIDOU;2513M1;;3;;;;;;;3;;;;;
BFOIS14 - BF SAINT QUENTIN VICTOR HUGO;2514M1;;4;;;;;;;4;;;;;
BFOIS15 - BF SOISSONS;2515M1;;5;;;;;;;5;;;;;
BFOIS22 - BF TERGNIER;2525M1;;;;;1;;;;;;;1;;
BFOIS24 - BF VILLERS COTTERETS;2527M1;;;6;;;;;;;6;;;;
FTOIS02F - FP SAINT MAXIMIN;2531M1;;;1;;;;;;;1;;;;
FTOIS01F - FP SAINT QUENTIN;2530M1;;1;;;;;;;1;;;;;
PIOI01F - PISCINE TRIE CHATEAU;2533M1;;;;2;;;;;;;2;;;
WUF18F - WUF VERNON;2529M1;;;;1;;;;;;;1;;;
