Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
BFPICA06 - BF DUNKERQUE FUSILLIERS MARINS;2906M1;1;;;;;;;1;;;;;;
BFPICA19 - BF DUNKERQUE PETITE SYNTHE KRUYSBELLAERT;2919M1;2;;;1;;;;2;;;1;;;
BFPICA18 - BF COUDEKERQUE BRANCHE;2918M1;3;;;;;;;3;;;;;;
BFPICA08 - BF SAINT MARTIN AU LAERT;2908M1;4;;;;;;;4;;;;;;
BFPICA16 - BF LONGUENESSE;2916M1;5;;;;;;;5;;;;;;
BFPICA05 - BF AIRE SUR LA LYS;2905M1;;;2;;;;;;;2;;;;
BFPICA23 - BF ARRAS AMPERE;2923M1;;;;6;;;;;;;6;;;
BFPICA11 - BF ARRAS BAPAUME;2911M1;;;;4;;;;;;;4;;;
BFPICA21 - BF AUCHEL;2921M1;;;3;;;;;;;3;;;;
BFPICA27 - BF AUCHY LES MINES;2927M1;;;;7;;;;;;;7;;;
BFPICA12 - BF AVION;2912M1;;;;5;;;;;;;5;;;
BFPICA20 - BF BERCK;2920M1;;4;;;;;;;5;;;;;
BFPICA13 - BF BETHUNE;2913M1;;;5;;;;;;;5;;;;
BFPICA03 - BF BOULOGNE SUR MER PLANCHON;2903M1;;3;;;;;;;3;;;;;
BFPICA10 - BF BRUAY LA BUISSIERE;2910M1;;;4;;;;;;;4;;;;
BFPICA02 - BF CALAIS GUYNEMER;2902M1;;2;;;;;;;2;;;;;
BFPICA01 - BF CALAIS L'EGALITE;2901M1;;1;;;;;;;1;;;;;
BFPICA25 - BF CARVIN;2925M1;;;;;5;;;;;;;5;;
BFPICA24 - BF COQUELLES;2924M1;;5;;;;;;;4;;;;;
BFPICA14 - BF COURRIERES;2914M1;;;;;1;;;;;;;1;;
BFPICA15 - BF HENIN BEAUMONT PALME;2915M1;;;;;3;;;;;;;3;;
BFPICA04 - BF HENIN BEAUMONT WAGON;2904M1;;;;;2;;;;;;;2;;
BFPICA09 - BF LENS BETHUNE;2909M1;;;;2;;;;;;;2;;;
BFPICA22 - BF LIEVIN;2922M1;;;6;;;;;;;6;;;;
BFPICA07 - BF LOISON SOUS LENS;2907M1;;;;3;;;;;;;3;;;
BFPICA26 - BF MARCONNE;2926M1;;6;;;;;;;6;;;;;
BFPICA29 - BF NOEUX LES MINES;2929M1;;;1;;;;;;;1;;;;
BFPICA17 - BF NOYELLES GODAULT;2917M1;;;;;4;;;;;;;4;;
BFPICA28 - BF OUTREAU;2928M1;;7;;;;;;;7;;;;;
