Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
BFPY12 - BF DAX;2814M1;1;;;;;;;1;;;;;;
BFPY24 - BF LA TESTE DE BUCH;2827M1;2;;;;;;;2;;;;;;
BFPY23 - BF GUJAN-MESTRAS;2826M1;3;;;;;;;3;;;;;;
BFPY25 - BF BISCAROSSE;2828M1;4;;;;;;;4;;;;;;
BFPY22 - BF BIGANOS;2825M1;5;;;;;;;5;;;;;;
BFPY09 - BF AIRE SUR L'ADOUR;2809M1;;;;;5;;;;;;;5;;
BFPY01 - BF BAYONNE CHEMIN DE TROUILLET;2801M1;;;1;;;;;;;1;;;;
BFPY02 - BF BAYONNE RUE ARNAUD DÉTROYAT;2802M1;;;2;;;;;;;2;;;;
BFPY14 - BF BENEJACQ;2816M1;;;;5;;;;;;;5;;;
BFPY03 - BF BIARRITZ QUARTIER KLEBER BOULEVARD AUGUSTA;2803M1;;;3;;;;;;;3;;;;
BFPY16 - BF CAPVERN;2818M1;;5;;;;;;;5;;;;;
BFPY21 - BF ESTANCARBON;2824M1;;4;;;;;;;4;;;;;
BFPY19 - BF FOIX;2822M1;;3;;;;;;;3;;;;;
BFPY13 - BF HAGETMAU;2815M1;;;;;6;;;;;;;6;;
BFPY11 - BF HENDAYE;2813M1;;;4;;;;;;;4;;;;
BFPY04 - BF IBOS ZAC LE MÉRIDIEN;2804M1;;;;4;;;;;;;4;;;
BFPY05 - BF LESCAR RUE JOSEPH CUGNOT;2805M1;;;5;;;;;;;5;;;;
BFPY06 - BF MONT DE MARSAN AVENUE DU VIGNAU;2806M1;;;;;4;;;;;;;4;;
BFPY17 - BF ODOS;2819M1;;;;6;;;;;;;6;;;
BFPY18 - BF PAMIERS;2821M1;;2;;;;;;;2;;;;;
BFPY07 - BF PAU BOULEVARD RENÉ MOUCHOTTE;2807M1;;;;;3;;;;;;;3;;
BFPY08 - BF PAU, PALAIS DES PYRÉNÉES;2808M1;;;;;2;;;;;;;2;;
BFPY20 - BF SAINT GIRONS;2823M1;;1;;;;;;;1;;;;;
BFPY15 - BF TARBES;2817M1;;;;2;;;;;;;2;;;
FPPY04F - FP BIZANOS;2829M1;;;;;1;;;;;;;1;;
FPPY03F - FP JURANCON;2820M1;;;;1;;;;;;;1;;;
FPPY01F - FP TARBES;2810M1;;;;3;;;;;;;3;;;
