Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
BFMA14 - BF PLAN DE CAMPAGNE;1314M1;1;;2;;5;;;1;;2;;5;;
BFMA36 - BF TOULON MURIER;1342M1;2;;;7;;;;2;;;7;;;
BFMA4 - BF TOULON LA VALETTE;1304M1;3;;;6;;;;3;;;6;;;
BFMA6 - BF TOULON CENTRE;1306M1;4;;;;;;;4;;;;;;
BFMA15 - BF LA SEYNE-SUR-MER;1322M1;5;;;5;;;;5;;;5;;;
BFMA31 - BF LA CIOTAT;1337M1;6;;;4;;;;6;;;4;;;
BFMA11 - BF AIX EN PROVENCE;1311M1;;5;;;6;;;;5;;;6;;
BFMA37 - BF GIGNAC LA NERTHE;1343M1;;7;;;;;;;7;;;;;
BFMA43 - BF ISTRES;1350M1;;;1;;;;;;;1;;;;
BFMA39 - BF MANOSQUE;1345M1;;;6;;;;;;;6;;;;
BFMA10 - BF MARIGNANE;1310M1;;4;;;4;;;;4;;;4;;
BFMA27 - BF MARTIGUES ORMEAUX;1333M1;;;4;;;;;;;4;;;;
BFMA8 - BF MARTIGUES ROUTE ISTRES;1308M1;;;3;;;;;;;3;;;;
BFMA42 - BF ROCBARON;1349M1;;;;3;;;;;;;3;;;
BFMA23 - BF ROQUEVAIRE;1329M1;;;;2;;;;;;;2;;;
BFMA28 - BF SALON DE PROVENCE;1334M1;;;5;;;;;;;5;;;;
BFMA9 - BF VITROLLES;1309M1;;;;;2;;;;;;;2;;
FTMA09F - FP AIX EN PROVENCE;1356M1;;3;;;1;;;;3;;;1;;
FTMA06 - FP AUBAGNE;1320M1;;;;1;;;;;;;1;;;
FTMA03 - FP MARSEILLE PLAN DE CAMPAGNE;1317M1;;6;;;7;;;;6;;;7;;
FTMA03 - FP MARSEILLE PLAN DE CAMPAGNE;1354M1;;2;;;3;;;;2;;;3;;
FTMA08 - FP VITROLLES;1351M1;;1;;;;;;;1;;;;;
