Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
BFBREN45 - BF SAINT MARTIN DES CHAMPS;2249M1;1;;;;;;;1;;;;;;
BFBREN14 - BF LANNION RUE LUCIEN VIDIE;2214M1;2;;;;;;;2;;;;;;
BFBREN21 - BF PAIMPOL;2219M1;3;;;;;;;3;;;;;;
BFBREN42 - BF BREST GOUESNOU;2245M1;4;;;;;;;4;;;;;;
BFBREN18 - BF BREST BELIN;2224M1;5;;;;;;;5;;;;;;
BFBREN16 - BF BREST JEAN JAURES;2225M1;6;;;;;;;6;;;;;;
BFBREN17 - BF BREST KERVERN;2226M1;7;;;;;;;7;;;;;;
BFBREN26 - BF BREST PLYMOUTH;2228M1;8;;;;;;;8;;;;;;
BFBREN28 - BF LANDIVISIAU;2230M1;9;;;;;;;9;;;;;;
BFBREN03 - BF CESSON-SÉVIGNÉ RUE DES MESLIERS;2203M1;;;;;6;;;;;;;5;;
BFBREN41 - BF CHANTEPIE;2244M1;;;;;3;;;;;;;3;;
BFBREN44 - BF CHATEAUBRIANT;2247M1;;;;3;;;;;;;3;;;
BFBREN20 - BF CHATEAUGIRON;2218M1;;;;;2;;;;;;;2;;
BFBREN43 - BF CONCARNEAU;2246M1;;1;;;;;;;1;;;;;
BFBREN40 - BF FOUGERES;2243M1;;;;2;;;;;;;2;;;
BFBREN37 - BF GUIPRY MESSAC;2239M1;;;;5;;;;;;;4;;;
BFBREN30 - BF LAMBALLE-ARMOR;2232M1;;6;;;;;;;6;;;;;
BFBREN46 - BF MONTGERMONT;2252M1;;;;;;;;;;;;;;
BFBREN12 - BF PLERIN;2212M1;;7;;;;;;;8;;;;;
BFBREN35 - BF PLEUMELEUC;2237M1;;;1;;;;;;;1;;;;
BFBREN13 - BF PLEURTUIT ZAC LA VILLE ES MENIERS;2213M1;;;5;;;;;;;5;;;;
BFBREN39 - BF PONTIVY;2241M1;;2;;;;;;;2;;;;;
BFBREN24 - BF QUIMPER KERGUELEN;2222M1;;4;;;;;;;4;;;;;
BFBREN25 - BF QUIMPER ROUTE DE BREST;2223M1;;3;;;;;;;3;;;;;
BFBREN32 - BF RENNES CC LONG CHAMPS;2234M1;;;;;5;;;;;;;7;;
BFBREN07 - BF RENNES RUE DE LA ROBERDIÈRE;2207M1;;;;;7;;;;;;;6;;
BFBREN06 - BF RENNES RUE DONELIÈRE;2206M1;;5;;;4;;;;5;;;4;;
BFBREN10 - BF SAINT BERTHEVIN AVENUE DE PARIS;2210M1;;;;4;;;;;;;5;;;
BFBREN31 - BF SAINT MALO ESPERANCE;2233M1;;;6;;;;;;;6;;;;
BFBREN08 - BF SAINT-BRIEUC RUE SAINT-BENOÎT;2208M1;;8;;;;;;;7;;;;;
BFBREN09 - BF SAINT-MALO RUE DE LA GRASSINAIS;2209M1;;;7;;;;;;;7;;;;
BFBREN36 - BF TADEN;2238M1;;;4;;;;;;;4;;;;
BFBREN15 - BF VITRÉ RUE DU FOUGERAY;2215M1;;;;;1;;;;;;;1;;
SFMBREN02F - SALLE FITNESS MONTOIS DINAN;2250M1;;;2;;;;;;;2;;;;
SFMBREN01F - SALLE FITNESS MONTOIS SAINT MALO;2248M1;;;3;;;;;;;3;;;;
WUFBREN01F - WUF MELESSE;2251M1;;;;1;;;;;;;1;;;
