Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
BFGREN24 - BF BRIANCON;3524M1;1;;;;;;;1;;;;;;
BFGREN22 - BF GAP;3522M1;2;;;;;;;2;;;;;;
BFGREN16 - BF AIX-LES-BAINS RUE LIONEL TERRAY;3516M1;;4;;;;;;;4;;;;;
BFGREN01 - BF ALBERTVILLE AVENUE JOSEPH FONTANET;3501M1;;5;;;;;;;5;;;;;
BFGREN20 - BF ANNECY CC CARREFOUR;3520M1;;6;;;;;;;6;;;;;
BFGREN19 - BF ANNEMASSE RUE DU CHABLAIS;3519M1;;;;4;;;;;;;4;;;
BFGREN04 - BF ANNEMASSE SOMMELIER;3504M1;;;;3;;;;;;;3;;;
BFGREN10 - BF BOURGOIN-JALLIEU ESPLANADE DE LA FOLATIÈRE;3510M1;;;7;;;;;;;3;;;;
BFGREN12 - BF CHAMBÉRY  BOULEVARD DE LA COLONNE;3512M1;;2;;;;;;;2;;;;;
BFGREN21 - BF CRANVES-SALES;3521M1;;;;5;;;;;;;5;;;
BFGREN08 - BF ECHIROLLES GRAND PLACE CC CARREFOUR;3508M1;;;;;5;;;;;;;5;;
BFGREN09 - BF ECHIROLLES RUE DU GRAND VEYMONT;3509M1;;1;;;6;;;;1;;;6;;
BFGREN03 - BF EPAGNY;3503M1;;;;2;;;;;;;2;;;
BFGREN11 - BF FONTAINE BOULEVARD PAUL LANGEVIN;3511M1;;;;;7;;;;;;;7;;
BFGREN23 - BF GIVORS;3523M1;;;2;;;;;;;8;;;;
BFGREN07 - BF GRENOBLE COURS DE LA LIBÉRATION;3507M1;;;;;4;;;;;;;4;;
BFGREN18 - BF L'ISLE D'ABEAU;3518M1;;;6;;;;;;;4;;;;
BFGREN17 - BF SAINT ALBAN LEYSSE AVENUE DE CHAMBÉRY;3517M1;;3;;;;;;;3;;;;;
BFGREN25 - BF SAINT MARTIN D'HERES;3525M1;;;;;2;;;;;;;2;;
BFGREN05 - BF SAINT-EGREVE;3505M1;;;;;3;;;;;;;3;;
BFGREN13 - BF SAINT-PERAY ZONE DES MURETS;3513M1;;;3;;;;;;;7;;;;
BFGREN14 - BF SALAISE-SUR-SANNE AVENUE PLEIN SUD;3514M1;;;4;;;;;;;6;;;;
BFGREN02 - BF SEYNOD;3502M1;;;;1;;;;;;;1;;;
BFGREN15 - BF TIGNIEU-JAMEYZIEU;3515M1;;;8;;;;;;;2;;;;
BFGREN06 - BF VIENNE QUAI RIONDET;3506M1;;;5;;;;;;;5;;;;
BFGREN26 - BF VOIRON;3526M1;;;;;1;;;;;;;1;;
FPGREN01F - FP TIGNIEU;3527M1;;;1;;;;;;;1;;;;
