Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
BFNC18 - BF NICE STADIUM BOULEVARD DES JARDINIERS;1423M1;1;;;;;;;1;;;;;;
BFNC14 - BF NICE SAINT AUGUSTIN;1413M1;2;;;;;;;2;;;;;;
FTNC03 - FP NICE JEAN MEDECIN;1461M1;3;;;2;;;;3;;;2;;;
FTNC03 - FP NICE JEAN MEDECIN;1462M1;4;;;1;;;;4;;;1;;;
FTNC19 - FP NICE SAINT ISIDOR;1436M1;5;;;5;;;;5;;;5;;;
BFNC21 - BF NICE PROMENADE DES ANGLAIS;1438M1;6;;;7;;;;7;;;7;;;
FTNC19 - FP NICE SAINT ISIDOR;1452M1;7;;;6;;;;6;;;6;;;
BFNC25 - BF BLAUSASC;1448M1;;;;;4;;;;;;;4;;
BFNC23 - BF CAGNES SUR MER;1440M1;;;2;;;;;;;2;;;;
BFNC19 - BF LA COLLE SUR LOUP;1437M1;;;3;;;;;;;3;;;;
BFNC17 - BF NICE AV. DESAMBROIS;1422M1;;;6;;;;;;;6;;;;
BFNC07 - BF NICE CESSOLE;1450M1;;6;;;;;;;6;;;;;
BFNC05 - BF NICE CLEMENT ROASSAL;1405M1;;7;;;;;;;7;;;;;
BFNC29 - BF NICE CRONSTADT;1431M1;;5;;;;;;;5;;;;;
BFNC26 - BF NICE GASSIN;1447M1;;1;;;;;;;1;;;;;
BFNC01 - BF NICE GUSTAVE GARAUD;1401M1;;;;;3;;;;;;;3;;
BFNC13 - BF NICE MARECHAL JOFFRE;1412M1;;;1;;;;;;;1;;;;
BFNC10 - BF NICE NOTRE DAME;1409M1;;;5;;;;;;;5;;;;
BFNC06 - BF SAINT LAURENT DU VAR;1406M1;;;4;;;;;;;4;;;;
FTNC22 - FP NICE CALIFORNIE;1459M1;;;;3;;;;;;;3;;;
FTNC07 - FP NICE CENTRE HALEVY;1424M1;;;;4;;;;;;;4;;;
FTNC21 - FP NICE LA PLAINE;1460M1;;4;;;;;;;4;;;;;
FTNC20 - FP NICE RIQUIER;1458M1;;;;;1;;;;;;;1;;
FTNC11 - FP NICE VERANY;1428M1;;2;;;;;;;2;;;;;
FTNC11 - FP NICE VERANY;1455M1;;3;;;;;;;3;;;;;
FTNC12 - FP TRINITE;1429M1;;;;;2;;;;;;;2;;
